id,message_type,content,shared_reel_id,shared_post_id,created_at
9279c6c7-3bdd-4734-8ea6-f5e59b48a4ee,reel,Shared a reel with you,null,null,2025-08-15 02:27:56.823797+00
17bb3999-6e07-4844-a5a1-da90b0ba3a2e,reel,Shared a reel with you,null,null,2025-08-15 02:02:58.329471+00
69fec72c-8de7-4d84-8a42-b5976b1c192b,reel,Shared a reel with you,null,null,2025-08-15 01:14:26.293316+00
0beb26b8-2556-428a-b42f-163bd7d8a7d8,text,Hi,null,null,2025-08-15 01:09:19.801153+00
0f6aa92e-1d48-44b2-8dfe-b3317a4a22a4,image,📷 Photo,null,null,2025-08-15 01:09:19.063148+00
2d514648-e39f-4851-9520-e2bd343aceb9,text,Hu,null,null,2025-08-13 20:52:42.14673+00
f6fb5854-9445-43f8-8e44-ed5da6fbbf29,text,muh me loge na,null,null,2025-08-13 20:30:33.552445+00
7245244b-b79e-4054-ba3e-293cb83bcd8e,text,Yaaar❤️,null,null,2025-08-13 20:30:24.623678+00
8e7e214b-0c3b-4416-9f06-047698d0cbf0,text,hello badmosh,null,null,2025-08-13 20:30:14.582392+00
00cd9215-2f0f-459a-b9a6-6342b8418202,text,Hello,null,null,2025-08-13 20:29:51.190678+00
